country,indicator,percent,year
Rwanda,High-technology exports (% of manufactured exports),6.160385983,2011
Rwanda,High-technology exports (% of manufactured exports),5.368463403,2010
Rwanda,High-technology exports (% of manufactured exports),11.63873979,2009
Rwanda,High-technology exports (% of manufactured exports),6.71389834,2008
Rwanda,High-technology exports (% of manufactured exports),16.3328383,2007
Rwanda,High-technology exports (% of manufactured exports),16.28882224,2006
Rwanda,High-technology exports (% of manufactured exports),25.34353658,2005
Rwanda,High-technology exports (% of manufactured exports),19.88992575,2004
Rwanda,High-technology exports (% of manufactured exports),27.00413616,2003
Rwanda,High-technology exports (% of manufactured exports),83.64025575,2002
Rwanda,High-technology exports (% of manufactured exports),1.523141726,2001
Rwanda,High-technology exports (% of manufactured exports),0.601955146,1999
Rwanda,High-technology exports (% of manufactured exports),2.166975689,1998
Rwanda,High-technology exports (% of manufactured exports),3.096848913,1997
Rwanda,High-technology exports (% of manufactured exports),0.598880871,1996
